market_id,period,firm_id,region,firm_type,q_old,q_new,profit,action
1,1,1,1,old,0.24615384615384633,0.0,0.06059171597633145,innovate
1,1,2,1,both,0.0,0.5153846153846154,0.265621301775148,stay
1,1,3,1,both,0.0,0.5153846153846154,0.265621301775148,stay
1,1,4,2,both,0.017948717948717993,0.4564102564102563,0.21682445759368826,stay
1,1,5,3,both,0.017948717948717968,0.4564102564102563,0.21682445759368826,exit
1,2,1,1,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
1,2,2,1,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
1,2,3,1,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
1,2,4,2,both,0.10000000000000006,0.39999999999999986,0.2099999999999999,
2,1,1,1,new,0.0,0.45384615384615373,0.20597633136094665,exit
2,1,2,2,old,0.18076923076923082,0.0,0.032677514792899424,innovate
2,1,3,2,new,0.0,0.45384615384615373,0.20597633136094665,stay
2,1,4,3,old,0.1807692307692308,0.0,0.03267751479289942,exit
2,1,5,3,both,0.0,0.5038461538461539,0.25386094674556225,stay
2,1,6,3,new,0.0,0.5038461538461539,0.25386094674556225,stay
2,2,2,2,both,0.0888888888888888,0.47555555555555573,0.27632592592592603,
2,2,3,2,new,0.0,0.5199999999999999,0.2703999999999999,
2,2,5,3,both,0.08888888888888884,0.4755555555555556,0.276325925925926,
2,2,6,3,new,0.0,0.5199999999999999,0.2703999999999999,
3,1,1,2,both,0.13333333333333325,0.8000000000000002,0.7644444444444446,stay
3,1,2,2,new,0.0,0.8666666666666667,0.7511111111111112,stay
3,1,3,3,pe,0.0,0.0,0.0,stay_out
3,2,1,2,both,0.13333333333333325,0.8000000000000002,0.7644444444444446,
3,2,2,2,new,0.0,0.8666666666666667,0.7511111111111112,
4,1,1,1,pe,0.0,0.0,0.0,enter
4,1,2,1,pe,0.0,0.0,0.0,stay_out
4,1,3,2,pe,0.0,0.0,0.0,stay_out
4,1,4,3,old,0.75,0.0,0.5625,exit
4,1,5,3,pe,0.0,0.0,0.0,stay_out
4,1,6,3,pe,0.0,0.0,0.0,stay_out
4,2,1,1,new,0.0,1.275,1.6256249999999999,
5,1,1,1,old,0.15454545454545449,0.0,0.023884297520661138,exit
5,1,2,2,old,0.1545454545454545,0.0,0.02388429752066115,innovate
5,1,3,2,both,0.0,0.6045454545454546,0.36547520661157035,stay
5,1,4,2,both,0.0,0.6045454545454546,0.36547520661157035,stay
5,1,5,3,old,0.15454545454545454,0.0,0.023884297520661155,exit
5,1,6,3,both,0.0,0.5545454545454545,0.3075206611570247,stay
5,2,2,2,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
5,2,3,2,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
5,2,4,2,both,0.033333333333333326,0.5333333333333333,0.30333333333333334,
5,2,6,3,both,0.10000000000000006,0.39999999999999986,0.2099999999999999,
6,1,1,1,both,0.0,0.7571428571428569,0.5732653061224486,stay
6,1,2,2,old,0.18571428571428578,0.0,0.03448979591836737,stay
6,1,3,2,both,0.0,0.7571428571428571,0.573265306122449,stay
6,1,4,3,old,0.18571428571428572,0.0,0.03448979591836735,innovate
6,1,5,3,old,0.18571428571428572,0.0,0.03448979591836735,stay
6,1,6,3,pe,0.0,0.0,0.0,stay_out
6,2,1,1,both,0.0,0.5857142857142856,0.3430612244897958,
6,2,2,2,old,0.20714285714285718,0.0,0.04290816326530614,
6,2,3,2,both,0.0,0.5857142857142857,0.343061224489796,
6,2,4,3,both,0.0,0.5857142857142856,0.3430612244897958,
6,2,5,3,old,0.2071428571428572,0.0,0.04290816326530615,
7,1,1,1,pe,0.0,0.0,0.0,stay_out
7,1,2,2,new,0.0,0.52,0.27040000000000003,stay
7,1,3,2,new,0.0,0.52,0.27040000000000003,stay
7,1,4,2,pe,0.0,0.0,0.0,stay_out
7,1,5,3,new,0.0,0.52,0.27040000000000003,exit
7,1,6,3,new,0.0,0.52,0.27040000000000003,stay
7,2,2,2,new,0.0,0.6625000000000001,0.4389062500000001,
7,2,3,2,new,0.0,0.6625000000000001,0.4389062500000001,
7,2,6,3,new,0.0,0.6124999999999998,0.3751562499999998,
8,1,1,1,pe,0.0,0.0,0.0,enter
8,1,2,1,pe,0.0,0.0,0.0,enter
8,1,3,2,both,0.0,1.16,1.3456,stay
8,1,4,2,pe,0.0,0.0,0.0,stay_out
8,1,5,2,pe,0.0,0.0,0.0,stay_out
8,1,6,3,old,0.46,0.0,0.2116,exit
8,2,1,1,new,0.0,0.6625000000000002,0.4389062500000003,
